Type,"Country Code","Series Code","Time Code","Description"
FootNote,"Azerbaijan (AZE)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, male (%) (SE.TER.CMPL.MA.ZS)","2017 (YR2017)","NAT_EST"
FootNote,"Azerbaijan (AZE)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, male (%) (SE.TER.CMPL.MA.ZS)","2016 (YR2016)","NAT_EST"
FootNote,"Azerbaijan (AZE)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, male (%) (SE.TER.CMPL.MA.ZS)","2015 (YR2015)","NAT_EST"
FootNote,"Azerbaijan (AZE)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, male (%) (SE.TER.CMPL.MA.ZS)","2014 (YR2014)","NAT_EST"
FootNote,"Azerbaijan (AZE)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, male (%) (SE.TER.CMPL.MA.ZS)","2013 (YR2013)","NAT_EST"
FootNote,"Azerbaijan (AZE)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, male (%) (SE.TER.CMPL.MA.ZS)","2012 (YR2012)","NAT_EST"
FootNote,"Azerbaijan (AZE)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, male (%) (SE.TER.CMPL.MA.ZS)","2011 (YR2011)","NAT_EST"
FootNote,"Azerbaijan (AZE)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, male (%) (SE.TER.CMPL.MA.ZS)","2010 (YR2010)","NAT_EST"
FootNote,"Azerbaijan (AZE)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, male (%) (SE.TER.CMPL.MA.ZS)","2009 (YR2009)","NAT_EST"
FootNote,"Azerbaijan (AZE)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, male (%) (SE.TER.CMPL.MA.ZS)","2008 (YR2008)","NAT_EST"
FootNote,"Azerbaijan (AZE)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, male (%) (SE.TER.CMPL.MA.ZS)","2005 (YR2005)","NAT_EST"
FootNote,"Azerbaijan (AZE)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, male (%) (SE.TER.CMPL.MA.ZS)","2004 (YR2004)","NAT_EST"
FootNote,"Azerbaijan (AZE)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, male (%) (SE.TER.CMPL.MA.ZS)","2003 (YR2003)","NAT_EST"
FootNote,"Azerbaijan (AZE)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, male (%) (SE.TER.CMPL.MA.ZS)","2002 (YR2002)","NAT_EST"
FootNote,"Azerbaijan (AZE)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, male (%) (SE.TER.CMPL.MA.ZS)","2001 (YR2001)","NAT_EST"
FootNote,"Azerbaijan (AZE)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, male (%) (SE.TER.CMPL.MA.ZS)","2000 (YR2000)","NAT_EST"
FootNote,"Azerbaijan (AZE)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, female (%) (SE.TER.CMPL.FE.ZS)","2017 (YR2017)","NAT_EST"
FootNote,"Azerbaijan (AZE)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, female (%) (SE.TER.CMPL.FE.ZS)","2016 (YR2016)","NAT_EST"
FootNote,"Azerbaijan (AZE)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, female (%) (SE.TER.CMPL.FE.ZS)","2015 (YR2015)","NAT_EST"
FootNote,"Azerbaijan (AZE)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, female (%) (SE.TER.CMPL.FE.ZS)","2014 (YR2014)","NAT_EST"
FootNote,"Azerbaijan (AZE)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, female (%) (SE.TER.CMPL.FE.ZS)","2013 (YR2013)","NAT_EST"
FootNote,"Azerbaijan (AZE)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, female (%) (SE.TER.CMPL.FE.ZS)","2012 (YR2012)","NAT_EST"
FootNote,"Azerbaijan (AZE)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, female (%) (SE.TER.CMPL.FE.ZS)","2011 (YR2011)","NAT_EST"
FootNote,"Azerbaijan (AZE)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, female (%) (SE.TER.CMPL.FE.ZS)","2010 (YR2010)","NAT_EST"
FootNote,"Azerbaijan (AZE)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, female (%) (SE.TER.CMPL.FE.ZS)","2009 (YR2009)","NAT_EST"
FootNote,"Azerbaijan (AZE)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, female (%) (SE.TER.CMPL.FE.ZS)","2008 (YR2008)","NAT_EST"
FootNote,"Azerbaijan (AZE)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, female (%) (SE.TER.CMPL.FE.ZS)","2005 (YR2005)","NAT_EST"
FootNote,"Azerbaijan (AZE)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, female (%) (SE.TER.CMPL.FE.ZS)","2004 (YR2004)","NAT_EST"
FootNote,"Azerbaijan (AZE)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, female (%) (SE.TER.CMPL.FE.ZS)","2003 (YR2003)","NAT_EST"
FootNote,"Azerbaijan (AZE)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, female (%) (SE.TER.CMPL.FE.ZS)","2002 (YR2002)","NAT_EST"
FootNote,"Azerbaijan (AZE)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, female (%) (SE.TER.CMPL.FE.ZS)","2001 (YR2001)","NAT_EST"
FootNote,"Azerbaijan (AZE)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, female (%) (SE.TER.CMPL.FE.ZS)","2000 (YR2000)","NAT_EST"
FootNote,"Azerbaijan (AZE)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, both sexes (%) (SE.TER.CMPL.ZS)","2011 (YR2011)","NAT_EST"
FootNote,"Azerbaijan (AZE)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, both sexes (%) (SE.TER.CMPL.ZS)","2012 (YR2012)","NAT_EST"
FootNote,"Azerbaijan (AZE)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, both sexes (%) (SE.TER.CMPL.ZS)","2013 (YR2013)","NAT_EST"
FootNote,"Azerbaijan (AZE)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, both sexes (%) (SE.TER.CMPL.ZS)","2014 (YR2014)","NAT_EST"
FootNote,"Azerbaijan (AZE)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, both sexes (%) (SE.TER.CMPL.ZS)","2015 (YR2015)","NAT_EST"
FootNote,"Azerbaijan (AZE)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, both sexes (%) (SE.TER.CMPL.ZS)","2016 (YR2016)","NAT_EST"
FootNote,"Azerbaijan (AZE)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, both sexes (%) (SE.TER.CMPL.ZS)","2017 (YR2017)","NAT_EST"
FootNote,"Azerbaijan (AZE)","Gross enrolment ratio, post-secondary non-tertiary, gender parity index (GPI) (UIS.GER.4.GPI)","2006 (YR2006)","NAT_EST"
FootNote,"Azerbaijan (AZE)","Gross enrolment ratio, post-secondary non-tertiary, gender parity index (GPI) (UIS.GER.4.GPI)","2007 (YR2007)","NAT_EST"
FootNote,"Azerbaijan (AZE)","Gross enrolment ratio, post-secondary non-tertiary, gender parity index (GPI) (UIS.GER.4.GPI)","2008 (YR2008)","NAT_EST"
FootNote,"Azerbaijan (AZE)","Gross enrolment ratio, post-secondary non-tertiary, gender parity index (GPI) (UIS.GER.4.GPI)","2009 (YR2009)","NAT_EST"
FootNote,"Azerbaijan (AZE)","Gross enrolment ratio, post-secondary non-tertiary, gender parity index (GPI) (UIS.GER.4.GPI)","2010 (YR2010)","NAT_EST"
FootNote,"Azerbaijan (AZE)","Gross enrolment ratio, post-secondary non-tertiary, gender parity index (GPI) (UIS.GER.4.GPI)","2011 (YR2011)","NAT_EST"
FootNote,"Azerbaijan (AZE)","Gross enrolment ratio, post-secondary non-tertiary, gender parity index (GPI) (UIS.GER.4.GPI)","2012 (YR2012)","NAT_EST"
FootNote,"Azerbaijan (AZE)","Gross enrolment ratio, post-secondary non-tertiary, gender parity index (GPI) (UIS.GER.4.GPI)","2013 (YR2013)","NAT_EST"
FootNote,"Azerbaijan (AZE)","Gross enrolment ratio, post-secondary non-tertiary, gender parity index (GPI) (UIS.GER.4.GPI)","2014 (YR2014)","NAT_EST"
FootNote,"Azerbaijan (AZE)","Gross enrolment ratio, post-secondary non-tertiary, gender parity index (GPI) (UIS.GER.4.GPI)","2015 (YR2015)","NAT_EST"
FootNote,"Azerbaijan (AZE)","Gross enrolment ratio, post-secondary non-tertiary, gender parity index (GPI) (UIS.GER.4.GPI)","2016 (YR2016)","NAT_EST"
FootNote,"Azerbaijan (AZE)","Gross enrolment ratio, post-secondary non-tertiary, gender parity index (GPI) (UIS.GER.4.GPI)","2017 (YR2017)","NAT_EST"
FootNote,"Azerbaijan (AZE)","Gross enrolment ratio, post-secondary non-tertiary, gender parity index (GPI) (UIS.GER.4.GPI)","2018 (YR2018)","NAT_EST"
FootNote,"Azerbaijan (AZE)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, gender parity index (GPI) (UIS.GGR.5.A.GPI)","2000 (YR2000)","NAT_EST"
FootNote,"Azerbaijan (AZE)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, gender parity index (GPI) (UIS.GGR.5.A.GPI)","2001 (YR2001)","NAT_EST"
FootNote,"Azerbaijan (AZE)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, gender parity index (GPI) (UIS.GGR.5.A.GPI)","2002 (YR2002)","NAT_EST"
FootNote,"Azerbaijan (AZE)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, gender parity index (GPI) (UIS.GGR.5.A.GPI)","2003 (YR2003)","NAT_EST"
FootNote,"Azerbaijan (AZE)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, gender parity index (GPI) (UIS.GGR.5.A.GPI)","2004 (YR2004)","NAT_EST"
FootNote,"Azerbaijan (AZE)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, gender parity index (GPI) (UIS.GGR.5.A.GPI)","2005 (YR2005)","NAT_EST"
FootNote,"Azerbaijan (AZE)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, gender parity index (GPI) (UIS.GGR.5.A.GPI)","2008 (YR2008)","NAT_EST"
FootNote,"Azerbaijan (AZE)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, gender parity index (GPI) (UIS.GGR.5.A.GPI)","2017 (YR2017)","NAT_EST"
FootNote,"Azerbaijan (AZE)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, gender parity index (GPI) (UIS.GGR.5.A.GPI)","2016 (YR2016)","NAT_EST"
FootNote,"Azerbaijan (AZE)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, gender parity index (GPI) (UIS.GGR.5.A.GPI)","2015 (YR2015)","NAT_EST"
FootNote,"Azerbaijan (AZE)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, gender parity index (GPI) (UIS.GGR.5.A.GPI)","2014 (YR2014)","NAT_EST"
FootNote,"Azerbaijan (AZE)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, gender parity index (GPI) (UIS.GGR.5.A.GPI)","2013 (YR2013)","NAT_EST"
FootNote,"Azerbaijan (AZE)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, gender parity index (GPI) (UIS.GGR.5.A.GPI)","2012 (YR2012)","NAT_EST"
FootNote,"Azerbaijan (AZE)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, gender parity index (GPI) (UIS.GGR.5.A.GPI)","2011 (YR2011)","NAT_EST"
FootNote,"Azerbaijan (AZE)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, gender parity index (GPI) (UIS.GGR.5.A.GPI)","2010 (YR2010)","NAT_EST"
FootNote,"Azerbaijan (AZE)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, gender parity index (GPI) (UIS.GGR.5.A.GPI)","2009 (YR2009)","NAT_EST"
FootNote,"Belgium (BEL)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, female (%) (SE.TER.CMPL.FE.ZS)","2000 (YR2000)","UNESCO Institute for Statistics (UIS) estimate"
FootNote,"Belgium (BEL)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, male (%) (SE.TER.CMPL.MA.ZS)","2000 (YR2000)","UNESCO Institute for Statistics (UIS) estimate"
FootNote,"Belgium (BEL)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, both sexes (%) (SE.TER.CMPL.ZS)","2000 (YR2000)","UNESCO Institute for Statistics (UIS) estimate"
FootNote,"Belgium (BEL)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, gender parity index (GPI) (UIS.GGR.5.A.GPI)","2000 (YR2000)","UNESCO Institute for Statistics (UIS) estimate"
FootNote,"Benin (BEN)","Teaching staff compensation as a percentage of total expenditure in public institutions (%) (UIS.XSPENDP.FDPUB.FNTS)","2007 (YR2007)","UIS Estimate"
FootNote,"Benin (BEN)","Teaching staff compensation as a percentage of total expenditure in secondary public institutions (%) (UIS.XSPENDP.23.FDPUB.FNTS)","2007 (YR2007)","UIS Estimate"
FootNote,"Bahrain (BHR)","Gross enrolment ratio, post-secondary non-tertiary, gender parity index (GPI) (UIS.GER.4.GPI)","2006 (YR2006)","UIS_EST"
FootNote,"Belize (BLZ)","Gross enrolment ratio, post-secondary non-tertiary, gender parity index (GPI) (UIS.GER.4.GPI)","1999 (YR1999)","UNESCO Institute for Statistics (UIS) estimate"
FootNote,"Belize (BLZ)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, both sexes (%) (SE.TER.CMPL.ZS)","2014 (YR2014)","Should be treated as NIL"
FootNote,"Belize (BLZ)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, male (%) (SE.TER.CMPL.MA.ZS)","2014 (YR2014)","Should be treated as NIL"
FootNote,"Belize (BLZ)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, female (%) (SE.TER.CMPL.FE.ZS)","2014 (YR2014)","Should be treated as NIL"
FootNote,"Bermuda (BMU)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, both sexes (%) (SE.TER.CMPL.ZS)","2018 (YR2018)","Should be treated as NIL"
FootNote,"Bermuda (BMU)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, both sexes (%) (SE.TER.CMPL.ZS)","2017 (YR2017)","Should be treated as NIL"
FootNote,"Bermuda (BMU)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, male (%) (SE.TER.CMPL.MA.ZS)","2018 (YR2018)","Should be treated as NIL"
FootNote,"Bermuda (BMU)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, male (%) (SE.TER.CMPL.MA.ZS)","2017 (YR2017)","Should be treated as NIL"
FootNote,"Bermuda (BMU)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, female (%) (SE.TER.CMPL.FE.ZS)","2018 (YR2018)","Should be treated as NIL"
FootNote,"Bermuda (BMU)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, female (%) (SE.TER.CMPL.FE.ZS)","2017 (YR2017)","Should be treated as NIL"
FootNote,"Brazil (BRA)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, both sexes (%) (SE.TER.CMPL.ZS)","2002 (YR2002)","NAT_EST"
FootNote,"Brazil (BRA)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, both sexes (%) (SE.TER.CMPL.ZS)","2003 (YR2003)","NAT_EST"
FootNote,"Brazil (BRA)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, both sexes (%) (SE.TER.CMPL.ZS)","2004 (YR2004)","NAT_EST"
FootNote,"Brazil (BRA)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, both sexes (%) (SE.TER.CMPL.ZS)","2005 (YR2005)","NAT_EST"
FootNote,"Brazil (BRA)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, both sexes (%) (SE.TER.CMPL.ZS)","2007 (YR2007)","NAT_EST"
FootNote,"Brazil (BRA)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, both sexes (%) (SE.TER.CMPL.ZS)","2008 (YR2008)","NAT_EST"
FootNote,"Brazil (BRA)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, both sexes (%) (SE.TER.CMPL.ZS)","2009 (YR2009)","NAT_EST"
FootNote,"Brazil (BRA)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, both sexes (%) (SE.TER.CMPL.ZS)","2011 (YR2011)","NAT_EST"
FootNote,"Brazil (BRA)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, both sexes (%) (SE.TER.CMPL.ZS)","2012 (YR2012)","NAT_EST"
FootNote,"Brazil (BRA)","Gross enrolment ratio, post-secondary non-tertiary, gender parity index (GPI) (UIS.GER.4.GPI)","2013 (YR2013)","NAT_EST"
FootNote,"Brazil (BRA)","Gross enrolment ratio, post-secondary non-tertiary, gender parity index (GPI) (UIS.GER.4.GPI)","2014 (YR2014)","NAT_EST"
FootNote,"Brazil (BRA)","Gross enrolment ratio, post-secondary non-tertiary, gender parity index (GPI) (UIS.GER.4.GPI)","2015 (YR2015)","NAT_EST"
FootNote,"Brazil (BRA)","Gross enrolment ratio, post-secondary non-tertiary, gender parity index (GPI) (UIS.GER.4.GPI)","2016 (YR2016)","NAT_EST"
FootNote,"Brazil (BRA)","Gross enrolment ratio, post-secondary non-tertiary, gender parity index (GPI) (UIS.GER.4.GPI)","2017 (YR2017)","NAT_EST"
FootNote,"Brazil (BRA)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, gender parity index (GPI) (UIS.GGR.5.A.GPI)","2002 (YR2002)","NAT_EST"
FootNote,"Brazil (BRA)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, gender parity index (GPI) (UIS.GGR.5.A.GPI)","2003 (YR2003)","NAT_EST"
FootNote,"Brazil (BRA)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, gender parity index (GPI) (UIS.GGR.5.A.GPI)","2004 (YR2004)","NAT_EST"
FootNote,"Brazil (BRA)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, gender parity index (GPI) (UIS.GGR.5.A.GPI)","2005 (YR2005)","NAT_EST"
FootNote,"Brazil (BRA)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, gender parity index (GPI) (UIS.GGR.5.A.GPI)","2007 (YR2007)","NAT_EST"
FootNote,"Brazil (BRA)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, gender parity index (GPI) (UIS.GGR.5.A.GPI)","2008 (YR2008)","NAT_EST"
FootNote,"Brazil (BRA)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, gender parity index (GPI) (UIS.GGR.5.A.GPI)","2009 (YR2009)","NAT_EST"
FootNote,"Brazil (BRA)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, gender parity index (GPI) (UIS.GGR.5.A.GPI)","2011 (YR2011)","NAT_EST"
FootNote,"Brazil (BRA)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, gender parity index (GPI) (UIS.GGR.5.A.GPI)","2012 (YR2012)","NAT_EST"
FootNote,"Brazil (BRA)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, male (%) (SE.TER.CMPL.MA.ZS)","2012 (YR2012)","NAT_EST"
FootNote,"Brazil (BRA)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, male (%) (SE.TER.CMPL.MA.ZS)","2011 (YR2011)","NAT_EST"
FootNote,"Brazil (BRA)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, male (%) (SE.TER.CMPL.MA.ZS)","2009 (YR2009)","NAT_EST"
FootNote,"Brazil (BRA)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, male (%) (SE.TER.CMPL.MA.ZS)","2008 (YR2008)","NAT_EST"
FootNote,"Brazil (BRA)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, male (%) (SE.TER.CMPL.MA.ZS)","2007 (YR2007)","NAT_EST"
FootNote,"Brazil (BRA)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, male (%) (SE.TER.CMPL.MA.ZS)","2005 (YR2005)","NAT_EST"
FootNote,"Brazil (BRA)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, male (%) (SE.TER.CMPL.MA.ZS)","2004 (YR2004)","NAT_EST"
FootNote,"Brazil (BRA)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, male (%) (SE.TER.CMPL.MA.ZS)","2003 (YR2003)","NAT_EST"
FootNote,"Brazil (BRA)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, male (%) (SE.TER.CMPL.MA.ZS)","2002 (YR2002)","NAT_EST"
FootNote,"Brazil (BRA)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, female (%) (SE.TER.CMPL.FE.ZS)","2012 (YR2012)","NAT_EST"
FootNote,"Brazil (BRA)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, female (%) (SE.TER.CMPL.FE.ZS)","2011 (YR2011)","NAT_EST"
FootNote,"Brazil (BRA)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, female (%) (SE.TER.CMPL.FE.ZS)","2009 (YR2009)","NAT_EST"
FootNote,"Brazil (BRA)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, female (%) (SE.TER.CMPL.FE.ZS)","2008 (YR2008)","NAT_EST"
FootNote,"Brazil (BRA)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, female (%) (SE.TER.CMPL.FE.ZS)","2007 (YR2007)","NAT_EST"
FootNote,"Brazil (BRA)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, female (%) (SE.TER.CMPL.FE.ZS)","2005 (YR2005)","NAT_EST"
FootNote,"Brazil (BRA)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, female (%) (SE.TER.CMPL.FE.ZS)","2004 (YR2004)","NAT_EST"
FootNote,"Brazil (BRA)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, female (%) (SE.TER.CMPL.FE.ZS)","2003 (YR2003)","NAT_EST"
FootNote,"Brazil (BRA)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, female (%) (SE.TER.CMPL.FE.ZS)","2002 (YR2002)","NAT_EST"
