"variable","label","description","source","source2"
"room_board_charge","Combined charge for room and board","","Integrated Postsecondary Education Data System",""
"independent_pct","Share of financially independent students","","College Scorecard",""
"female_pct","Share of female students","","College Scorecard",""
"married_pct","Share of married students","","College Scorecard",""
"faminc_med","Median family income (in real 2015 dollars)","","College Scorecard",""
"years_after_entry","Years after entry","The number of years after the academic year when the student entered the institution that this variable was measured. For example, if the year variable is 1997 (meaning these data are collected in academic year 1997–98) and the years_after_entry variable is 0, the cohort_year is the 1996-97 academic year and the 1997–98 academic year, pooled.","College Scorecard",""
"count_not_working","Students not working and not enrolled","Number of students not working and not enrolled XX years after entry","College Scorecard",""
"count_working","Students working and not enrolled","Number of students working and not enrolled XX years after entry","College Scorecard",""
"earnings_mean","Mean earnings of students working and not enrolled","Mean earnings of students working and not enrolled XX years after entry","College Scorecard",""
"level_of_study","Level of study","An undergraduate student is one enrolled in a four- or five-year bachelor's degree program, an associate's degree program, or a vocational or technical program below the baccalaureate. A graduate student is one who holds a bachelor's degree or above and is taking courses at the postbaccalaureate level.The use of this term was discontinued in Integrated Postsecondary Education Data System as of the 2010-11 data collection, when use of the new postbaccalaureate award categories became mandatory.This term refer to a degree, certificate, or level of student.A first-professional degree was an award that required completion of a program that met all of the following criteria: (1) completion of the academic requirements to begin practice in the profession; (2) at least two years of college work prior to entering the program; and (3) a total of at least six academic years of college work to complete the degree program, including prior required college work plus the length of the professional program itself. First-professional degrees may be awarded in the following 10 fields:Chiropractic (DC or DCM)Dentistry (DDS or DMD)Law (LLB, JD)Medicine (MD)Optometry (OD)Osteopathic Medicine (DO)Pharmacy (PharmD)Podiatry (DPM, DP, or PodD)Theology (MDiv, MHL, BD, or Ordination)Veterinary Medicine (DVM).A first-professional certificate was an award that required completion of an organized program of study designed for people who had completed the first-professional degree. Some examples are refresher courses or additional units of study in a specialty or subspecialty.","Integrated Postsecondary Education Data System",""
"contact_hours","12-month instructional activity contact hours for undergraduates","The provision of coursework to students that can be measured in terms of contact or clock hours. For the purposes of this survey, total contact-hour activity was determined by multiplying the contact-hour value of the program by the number of students enrolled in the program. For example, a 600-hour program with six students enrolled would contribute 3,600 contact hours to the total 12-month activity as long as all 3,600 hours were completed during the time frame. However, if three students completed their program, but the remaining three only completed half the program, the institution should report 1,800 hours for the first three students and 900 hours for the second group, or a total of 2,700 hours toward the 12-month total.","Integrated Postsecondary Education Data System",""
"headcount","Unduplicated head count of students enrolled over a 12-month period","Unduplicated head count of students enrolled over a 12-month period for both undergraduate and graduate levels. These enrollment data are particularly valuable for institutions that use non-traditional calendar systems and offer short-term programs. Because this enrollment measure encompasses an entire year, it provides a more complete picture of the number of students these schools serve.","Integrated Postsecondary Education Data System",""
