"variable","label","description","source","source2"
"exp_net_grant_aid_salaries","Expenditures: Net scholarships and fellowship expenses&mdash;salaries and wages","","Integrated Postsecondary Education Data System",""
"exp_total_current","Expenditures: Total","","Integrated Postsecondary Education Data System",""
"exp_total_salaries","Expenditures: Salaries and wages","","Integrated Postsecondary Education Data System",""
"athletic_expense_treatment","Athletic expense treatment","","Integrated Postsecondary Education Data System",""
"cpi","Consumer Price Index","This inflation index is based on the Consumer Price Index for All Urban Consumers from the Bureau of Labor Statistics, indexed to 2016.","Integrated Postsecondary Education Data System",""
"hepi","Higher Education Price Index","The Higher Education Price Index tracks changes in the prices colleges and universities pay and is based on trends in faculty salaries and price indexes from federal agencies. It is indexed to 2016.","Integrated Postsecondary Education Data System",""
"completion_rate_100pct","Graduation rate within 100% of normal time","","Integrated Postsecondary Education Data System",""
"completion_rate_150pct","Graduation rate within 150% of normal time","","Integrated Postsecondary Education Data System",""
"cohort_adj_150pct","Adjusted cohort (revised cohort minus exclusions) (number)","","Integrated Postsecondary Education Data System",""
"completers_100pct","Completers within 100% of normal time","","Integrated Postsecondary Education Data System",""
"completers_150pct","Completers within 150% of normal time","Completers within 150% of normal time. Normal time is the amount of time necessary for a student to complete all requirements for a degree or certificate according to the institution's catalog. This is typically 4 years (8 semesters or trimesters, or 12 quarters, excluding summer terms) for a bachelor's degree in a standard term-based institution; 2 years (4 semesters or trimesters, or 6 quarters, excluding summer terms) for an associate's degree in a standard term-based institution; and the various scheduled times for certificate programs.","Integrated Postsecondary Education Data System",""
"cohort_rev","Revised cohort (number of students)","Revised cohorts are the result of modifying the fall enrollment cohort data to reflect better information that has become available since the cohort was first reported in the relevant Fall Enrollment survey (e.g., you may now have more complete racial/ethnic information on the cohort).","Integrated Postsecondary Education Data System",""
"primary_public_control","Primary public control","","Integrated Postsecondary Education Data System",""
"secondary_public_control","Secondary public control","","Integrated Postsecondary Education Data System",""
"member_ncaa","Member of National Collegiate Athletic Association (NCAA)","","Integrated Postsecondary Education Data System",""
"repay_rate","Fraction of repayment cohort who are not in default and with loan balances that have declined since entering repayment, excluding enrolled and military deferment from calculation (rolling averages)","","College Scorecard",""
"repay_rate_female","Repayment rate for females","","College Scorecard",""
"repay_rate_male","Repayment rate for males","","College Scorecard",""
"repay_rate_firstgen","Repayment rate for first-generation students","","College Scorecard",""
"repay_count_female","Number of students in the repayment rate of female students cohort","","College Scorecard",""
"repay_count_male","Number of students in the repayment rate of male students cohort","","College Scorecard",""
"repay_count_firstgen","Number of students in the repayment rate of first-generation students cohort","","College Scorecard",""
"years_after_entry","Years after entry","The number of years after the academic year when the student entered the institution that this variable was measured. For example, if the year variable is 1997 (meaning these data are collected in academic year 1997–98) and the years_after_entry variable is 0, the cohort_year is the 1996-97 academic year and the 1997–98 academic year, pooled.","College Scorecard",""
"earnings_mean","Mean earnings of students working and not enrolled","Mean earnings of students working and not enrolled XX years after entry","College Scorecard",""
"earnings_sd","Standard deviation of earnings of students working and not enrolled","Standard deviation of earnings of students working and not enrolled XX years after entry","College Scorecard",""
"ftpt","Full-time or part-time status","Full-time (undergraduate): A student enrolled for 12 or more semester credits, or 12 or more quarter credits, or 24 or more contact hours a week each term.Part-time (undergraduate): A student enrolled for either less than 12 semester or quarter credits, or less than 24 contact hours a week each term.","Integrated Postsecondary Education Data System",""
"level_of_study","Level of study","An undergraduate student is one enrolled in a four- or five-year bachelor's degree program, an associate's degree program, or a vocational or technical program below the baccalaureate. A graduate student is one who holds a bachelor's degree or above and is taking courses at the postbaccalaureate level.The use of this term was discontinued in Integrated Postsecondary Education Data System as of the 2010-11 data collection, when use of the new postbaccalaureate award categories became mandatory.This term refer to a degree, certificate, or level of student.A first-professional degree was an award that required completion of a program that met all of the following criteria: (1) completion of the academic requirements to begin practice in the profession; (2) at least two years of college work prior to entering the program; and (3) a total of at least six academic years of college work to complete the degree program, including prior required college work plus the length of the professional program itself. First-professional degrees may be awarded in the following 10 fields:Chiropractic (DC or DCM)Dentistry (DDS or DMD)Law (LLB, JD)Medicine (MD)Optometry (OD)Osteopathic Medicine (DO)Pharmacy (PharmD)Podiatry (DPM, DP, or PodD)Theology (MDiv, MHL, BD, or Ordination)Veterinary Medicine (DVM).A first-professional certificate was an award that required completion of an organized program of study designed for people who had completed the first-professional degree. Some examples are refresher courses or additional units of study in a specialty or subspecialty.","Integrated Postsecondary Education Data System",""
"enrollment_fall","Fall enrollment","Enrollment reported is of the institution's official fall reporting date or October 15.","Integrated Postsecondary Education Data System",""
"award_level","Award level","The level of disaggregation for award level information changes over time. Most notably, they switch from an old degree classification of doctoral degrees and first professional degrees to three types of doctor's degrees, research/scholarship, professional practice, and other. This change occurs starting in the 2007-08 academic year, with institutions reporting using either classification. By 2009-10, alll institutions are using the new classification.","Integrated Postsecondary Education Data System",""
"awards","Awards","","Integrated Postsecondary Education Data System",""
"retention_rate","Retention rate","","Integrated Postsecondary Education Data System",""
